Time,?c1,Y2(),Y1()
0.546506523712,100000,1069,856
0.549520231419,100000,1057,847
0.552526195145,100000,1049,842
0.55555525793,100000,1048,839
0.55859244598,100000,1034,846
0.561632394402,100000,1046,843
0.564669150561,100000,1034,836
0.567698426352,100000,1021,856
0.570732191461,100000,1010,863
0.57373591787,100000,1013,867
0.576765431257,100000,1013,861
0.579810411261,100000,1007,864
0.582868708984,100000,1005,856
0.585871910543,100000,990,852
0.588889549872,100000,980,852
0.591891641675,100000,972,883
0.594911613591,100000,958,889
0.597932575706,100000,938,906
0.600938478513,100000,928,899
0.60394526634,100000,919,911
0.606969403784,100000,910,899
0.609985658242,100000,903,898
0.612997980345,100000,910,891
0.616030332992,100000,911,898
0.619055401515,100000,908,901
0.62206255899,100000,907,907
0.625066860847,100000,898,891
0.628142174252,100000,895,891
0.631195767036,100000,899,871
0.634225051732,100000,897,883
0.637283181126,100000,895,889
0.640289300383,100000,901,881
0.643302526238,100000,883,898
0.646324775798,100000,886,912
0.649332097351,100000,886,913
0.652369086667,100000,875,915
0.655375137104,100000,885,899
0.658376563113,100000,879,900
0.661395174704,100000,876,901
0.664415503023,100000,863,907
0.667446417221,100000,859,901
0.670460501778,100000,859,898
0.673480944315,100000,854,913
0.676525846956,100000,849,921
0.679559500226,100000,843,911
0.682571004805,100000,856,905
0.68559214334,100000,855,898
0.6886256734,100000,848,918
0.69162726787,100000,848,928
0.694660106884,100000,858,922
0.697663308998,100000,861,917
0.700688128903,100000,854,934
0.703710511168,100000,845,940
0.706743158183,100000,838,950
0.709778887903,100000,847,946
0.712780640145,100000,842,946
0.715786386016,100000,842,946
0.718813701853,100000,842,975
0.721824516042,100000,842,985
0.724849259823,100000,844,992
0.727901131067,100000,855,987
0.730916335003,100000,835,1017
0.733948430092,100000,836,1007
0.736998126113,100000,839,1012
0.740015313782,100000,830,1019
0.743021024526,100000,826,1044
0.746021855332,100000,824,1065
0.749025330819,100000,826,1084
0.752071547421,100000,825,1070
0.75508010154,100000,828,1072
0.758109589639,100000,824,1078
0.761109754082,100000,816,1094
0.764173578373,100000,820,1100
0.767199037598,100000,816,1128
0.770206823587,100000,822,1128
0.773212687422,100000,826,1145
0.776215808473,100000,833,1142
0.779217883217,100000,847,1143
0.782233615198,100000,850,1161
0.785242527412,100000,846,1181
0.788284222301,100000,846,1188
0.791293804125,100000,848,1187
0.794329475567,100000,853,1186
0.797377519395,100000,864,1178
0.800378385392,100000,865,1165
0.803379605363,100000,867,1186
0.806383653316,100000,881,1186
0.809386325724,100000,877,1186
0.812388674518,100000,886,1201
0.815389681797,100000,888,1209
0.818389991373,100000,904,1209
0.821401708146,100000,915,1207
0.82441018104,100000,909,1235
0.827415478509,100000,914,1236
0.830416213316,100000,925,1232
0.833437960417,100000,923,1232
0.836453350154,100000,940,1231
0.839468894062,100000,939,1220
0.842475175539,100000,937,1213
0.845497967887,100000,939,1246
0.848505088266,100000,944,1261
0.851517560869,100000,938,1269
0.854542591698,100000,941,1307
0.857572430035,100000,947,1312
0.860596806311,100000,961,1308
0.863608141279,100000,982,1293
0.866614031858,100000,985,1290
0.869634393145,100000,992,1294
0.872646929565,100000,1004,1291
0.875663792137,100000,1015,1281
0.878670891133,100000,1027,1283
0.881674744416,100000,1026,1300
0.884679859795,100000,1029,1305
0.887684795397,100000,1043,1306
0.890686496516,100000,1053,1289
0.893706383441,100000,1074,1275
0.8967196144,100000,1086,1279
0.89972481853,100000,1094,1291
0.90275639753,100000,1105,1313
0.905762872293,100000,1108,1311
0.908771822801,100000,1115,1322
0.911776808302,100000,1114,1320
0.914791563348,100000,1134,1313
0.917792359162,100000,1140,1322
0.920798076653,100000,1148,1312
0.92380210985,100000,1157,1309
0.926806322597,100000,1174,1311
0.929822088716,100000,1184,1304
0.932831896548,100000,1198,1296
0.935856664979,100000,1220,1288
0.938863003936,100000,1230,1288
0.941878498885,100000,1232,1273
0.944906318448,100000,1246,1273
0.947926842901,100000,1252,1254
0.950950468847,100000,1272,1230
0.953960580396,100000,1285,1205
0.956997220225,100000,1305,1179
0.960001448986,100000,1304,1159
0.963026294102,100000,1327,1133
0.966031466549,100000,1329,1106
0.969034689295,100000,1331,1103
0.972036358044,100000,1331,1095
0.975036950243,100000,1330,1087
0.97804697623,100000,1341,1077
0.9810916865,100000,1348,1044
0.984095266614,100000,1360,1029
0.987129215538,100000,1360,1030
0.990136991408,100000,1353,1013
0.993150570181,100000,1360,991
0.996155694716,100000,1347,997
0.999200968557,100000,1338,987
1.00220668992,100000,1320,999
1.00522186431,100000,1329,974
1.00824418858,100000,1326,960
1.01129297269,100000,1324,936
1.01437677745,100000,1324,935
1.01740792644,100000,1319,922
1.0204173337,100000,1331,896
1.02342429624,100000,1328,872
1.02647971487,100000,1315,883
1.02949089834,100000,1315,870
1.03250941613,100000,1326,861
1.03550976882,100000,1323,852
1.03852355268,100000,1314,860
1.04154880093,100000,1317,868
1.04455098324,100000,1313,869
1.04762323641,100000,1315,870
1.05063602186,100000,1306,852
1.0536463922,100000,1291,851
1.05668613118,100000,1274,837
1.05972087871,100000,1245,839
1.06272673586,100000,1230,828
1.06574705898,100000,1215,836
1.06877993391,100000,1214,825
1.07181604469,100000,1205,825
1.074829984,100000,1201,821
1.07783479943,100000,1196,804
1.08085976824,100000,1182,806
1.08387391531,100000,1167,816
1.08687590358,100000,1167,808
1.08991981266,100000,1154,817
1.09293186296,100000,1139,807
1.09596419851,100000,1138,802
1.09900677128,100000,1130,800
1.10202500782,100000,1131,766
1.10502550843,100000,1123,774
1.10805209744,100000,1114,771
1.11105588942,100000,1121,760
1.11407248742,100000,1111,768
1.11708840001,100000,1092,768
1.12009996457,100000,1084,773
1.12313047519,100000,1078,773
1.12614181875,100000,1071,768
1.12914733565,100000,1065,756
1.13214952614,100000,1073,749
1.1351687093,100000,1067,751
1.13816982374,100000,1070,742
1.14126208325,100000,1065,725
1.14432722829,100000,1050,727
1.14733896749,100000,1030,749
1.15034025236,100000,1032,744
1.15334778857,100000,1013,755
1.15635424348,100000,999,746
1.15936831876,100000,996,739
1.16241141866,100000,992,750
1.16542561653,100000,984,751
1.16845618679,100000,982,748
1.17151693804,100000,969,747
1.17454817577,100000,953,740
1.17754997417,100000,953,726
1.18057741667,100000,941,729
1.18360955349,100000,925,716
1.18661599775,100000,925,707
1.18962111558,100000,911,713
1.19263942149,100000,910,710
1.19569697466,100000,893,724
1.19870651999,100000,889,714
1.20174268055,100000,877,697
1.20478767061,100000,877,686
1.20780201516,100000,873,688
1.2108422349,100000,856,701
1.2138430807,100000,844,705
1.21685689159,100000,833,701
1.21989156919,100000,830,711
1.2228980808,100000,821,723
1.22592973894,100000,810,717
1.22896387861,100000,796,722
1.23196775112,100000,774,734
1.23500110376,100000,776,734
1.23800313422,100000,769,742
1.24100661029,100000,768,744
1.24401714978,100000,758,757
1.24706314795,100000,762,747
1.25007572896,100000,756,739
1.25309443398,100000,749,765
1.25610230564,100000,746,755
1.25912629643,100000,752,759
1.26213231053,100000,748,741
1.26514212107,100000,747,759
1.26814546407,100000,748,769
1.2711513612,100000,743,788
1.2742175348,100000,731,794
1.27722539298,100000,730,807
1.28029492858,100000,733,824
1.28329679206,100000,730,827
1.28633562444,100000,722,842
1.2893411229,100000,719,841
1.29237357009,100000,710,867
1.29542869331,100000,706,873
1.2984312239,100000,712,868
1.30148557677,100000,702,885
1.30454666451,100000,698,897
1.30758405092,100000,693,903
1.31059212323,100000,689,913
1.31360523293,100000,686,939
1.31661609133,100000,675,942
1.319648134,100000,675,949
1.32265511388,100000,678,944
1.32568244135,100000,677,944
1.32868447808,100000,680,948
1.33169888285,100000,682,952
1.33470998735,100000,684,964
1.33771147087,100000,683,978
1.3407471101,100000,684,994
1.34380170526,100000,692,999
1.34683500177,100000,691,1014
1.34984599673,100000,690,1022
1.35290152831,100000,683,1040
1.35591476602,100000,679,1052
1.35891930511,100000,678,1069
1.36194512993,100000,677,1100
1.36494807865,100000,674,1120
1.3679513799,100000,682,1126
1.37098117024,100000,676,1145
1.3740111075,100000,680,1140
1.37705999462,100000,691,1161
1.38006071098,100000,694,1160
1.3830832528,100000,690,1199
1.38611615332,100000,697,1212
1.38912482215,100000,689,1232
1.3921462981,100000,682,1223
1.39516295198,100000,675,1234
1.39818225629,100000,676,1238
1.40120936733,100000,687,1250
1.40421173625,100000,691,1286
1.40721232159,100000,705,1294
1.41023068056,100000,711,1314
1.41325066644,100000,726,1308
1.41625577958,100000,731,1302
1.41926274748,100000,740,1308
1.4223149331,100000,744,1319
1.42531502338,100000,749,1311
1.42833262689,100000,767,1332
1.43133497696,100000,762,1354
1.43438391459,100000,767,1390
1.43738542341,100000,768,1395
1.44043360462,100000,785,1398
1.44350099262,100000,800,1387
1.4465127283,100000,818,1371
1.44952018871,100000,826,1371
1.45252125942,100000,842,1371
1.45553790678,100000,850,1377
1.45853913167,100000,864,1364
1.46153931086,100000,871,1353
1.46456503222,100000,875,1363
1.46757102405,100000,874,1354
1.47058194424,100000,886,1346
1.47363098715,100000,903,1361
1.47663388939,100000,909,1382
1.47964531688,100000,910,1383
1.48265080791,100000,924,1382
1.48565587593,100000,927,1389
1.48868333652,100000,933,1403
1.49169436203,100000,951,1367
1.49471033223,100000,948,1382
1.49776718226,100000,966,1364
1.50077271016,100000,967,1383
1.50377789255,100000,977,1397
1.50678238929,100000,982,1406
1.50979437182,100000,991,1431
1.512814133,100000,1008,1422
1.5158225229,100000,1022,1418
1.51882392852,100000,1032,1397
1.52182505819,100000,1049,1402
1.52482539489,100000,1065,1406
1.52783685367,100000,1081,1411
1.53085690127,100000,1105,1405
1.53386604995,100000,1114,1403
1.53687945288,100000,1124,1413
1.53989137289,100000,1141,1401
1.5429060657,100000,1162,1394
1.5459083382,100000,1190,1390
1.54891344699,100000,1192,1396
1.55192526387,100000,1195,1395
1.55495487144,100000,1228,1375
1.55795921437,100000,1250,1353
1.56096360611,100000,1258,1357
1.56397487822,100000,1285,1345
1.56699363705,100000,1315,1338
1.56999680309,100000,1320,1339
1.57302512067,100000,1341,1333
1.57602629696,100000,1346,1324
1.57903362373,100000,1363,1295
1.58204587269,100000,1356,1301
1.58506048332,100000,1374,1276
1.58806821264,100000,1389,1253
1.59109282281,100000,1414,1239
1.59411896579,100000,1412,1220
1.59714239536,100000,1430,1194
1.6001534921,100000,1434,1169
1.60316479309,100000,1424,1158
1.60618906816,100000,1425,1143
1.60919451143,100000,1445,1132
1.6122269135,100000,1448,1119
1.61523989326,100000,1442,1112
1.61825851248,100000,1447,1097
1.62127470796,100000,1441,1099
1.62427584746,100000,1451,1064
1.62727668879,100000,1446,1054
1.63029647904,100000,1449,1022
1.63330018919,100000,1444,1015
1.63630344226,100000,1420,1030
1.63933220943,100000,1422,1009
1.64234129461,100000,1406,1011
1.64534384072,100000,1406,1019
1.64835213635,100000,1418,1004
1.6513525926,100000,1422,996
1.65437154726,100000,1427,992
1.65743360901,100000,1431,978
1.66043553074,100000,1436,971
1.66344578737,100000,1422,962
1.66645263561,100000,1426,946
1.66947666544,100000,1429,918
1.67248720268,100000,1437,906
1.67551010519,100000,1424,903
1.6785358937,100000,1405,915
1.6815454252,100000,1398,896
1.68455070155,100000,1400,879
1.6875639743,100000,1411,856
1.69057829359,100000,1409,849
1.69358300976,100000,1408,838
1.6966012219,100000,1394,835
1.69961788357,100000,1387,833
1.70262984419,100000,1384,822
1.70569364961,100000,1374,800
1.70870147908,100000,1367,797
1.71170894938,100000,1358,779
1.71472790267,100000,1339,775
1.71773638095,100000,1330,777
1.72080536378,100000,1319,763
1.72381138761,100000,1321,755
1.72681414941,100000,1325,756
1.72981503073,100000,1325,745
1.73283174871,100000,1312,733
1.73587730864,100000,1285,727
1.73889892075,100000,1290,718
1.74190730265,100000,1285,706
1.74495811364,100000,1265,701
1.74797135572,100000,1254,686
1.75099156044,100000,1247,686
1.75402662301,100000,1229,683
1.75703384605,100000,1207,674
1.76005313691,100000,1199,667
1.7630581265,100000,1190,681
1.76608692121,100000,1167,681
1.76908949595,100000,1150,686
1.77217986252,100000,1138,692
1.77518660957,100000,1125,690
1.77822036573,100000,1117,687
1.78122083579,100000,1098,698
1.78427627654,100000,1087,688
1.78728923175,100000,1072,690
1.79029752596,100000,1050,707
1.79334106446,100000,1032,697
1.79635063098,100000,1023,703
1.79939855328,100000,1014,702
1.80243036407,100000,1004,699
1.80543764586,100000,1003,701
1.80844780545,100000,988,686
1.81146404454,100000,985,696
1.81448070889,100000,977,692
1.81748314214,100000,969,691
1.82049108628,100000,957,722
1.82351009469,100000,947,729
1.82653411096,100000,928,730
1.829554178,100000,910,721
1.83255584244,100000,911,718
1.83556578829,100000,900,707
1.83861512337,100000,886,704
1.84163573273,100000,885,693
1.84467773337,100000,878,704
1.84768034369,100000,874,712
1.85069330322,100000,855,746
1.8537058699,100000,855,757
1.856717726,100000,857,760
1.85972223964,100000,845,766
1.86275137667,100000,843,765
1.86585575996,100000,841,763
1.86890854474,100000,836,770
1.87192256098,100000,836,764
1.87493547493,100000,831,775
1.87797309316,100000,825,774
1.88099816875,100000,827,807
1.88408255959,100000,826,811
1.88709416746,100000,832,805
1.89012566927,100000,826,804
1.89313504205,100000,839,793
1.89615433369,100000,829,799
1.89915625246,100000,826,805
1.90215854015,100000,823,797
1.90516987584,100000,816,818
1.90819733355,100000,814,833
1.91120004713,100000,814,838
1.91420042269,100000,815,845
1.91722368893,100000,806,856
1.92023036385,100000,804,869
1.92327791145,100000,802,893
1.92630386781,100000,796,876
1.92933355241,100000,800,894
