Time,X1,X2,Y1,Y2,Y3
0.,1,1,494,1000,1998
0.000601111282492,1,1,508,1007,2005
0.00120406650086,1,1,528,1014,2014
0.00181341243352,1,1,513,1010,2007
0.00241712962582,1,1,516,1006,2012
0.00304804636854,1,1,520,1001,2021
0.00364918652092,1,1,516,1000,2016
0.00425192648865,1,1,531,999,2024
0.00485242519757,1,1,542,1001,2033
0.00545247938444,1,1,545,1006,2035
0.00605353155675,1,1,538,993,2041
0.00665762403756,1,1,528,980,2040
0.0072596846626,1,1,526,980,2038
0.00786808267763,1,1,530,976,2048
0.00847612235672,1,1,526,963,2061
0.00907701180841,1,1,522,966,2054
0.00969586534777,1,1,508,972,2034
0.0103015083949,1,1,515,967,2044
0.0109048017213,1,1,514,970,2038
0.0115121148267,1,1,518,958,2056
0.0121284407714,1,1,509,949,2056
0.0127370316678,1,1,517,957,2062
0.0133475977272,1,1,524,965,2061
0.0139495392801,1,1,521,971,2052
0.0145697702517,1,1,515,975,2044
0.0151718233944,1,1,501,963,2046
0.0157806643438,1,1,498,956,2050
0.016388888458,1,1,514,970,2050
0.0170049268659,1,1,513,962,2055
0.0176500987093,1,1,513,966,2051
0.0182650832198,1,1,513,966,2061
0.0188709512025,1,1,517,967,2066
0.0194798060651,1,1,534,977,2069
0.0200863667529,1,1,540,995,2055
0.020687025641,1,1,548,993,2067
0.0212913173805,1,1,534,986,2062
0.021912821941,1,1,539,984,2065
0.0225199478268,1,1,534,985,2059
0.0231273681811,1,1,534,988,2056
0.0237339099876,1,1,544,984,2066
0.0243401816705,1,1,554,989,2067
0.0249408335866,1,1,552,987,2067
0.0255524172341,1,1,544,975,2069
0.0261526359704,1,1,546,984,2064
0.0267535895685,1,1,546,988,2060
0.0273581458379,1,1,544,994,2052
0.0279614567003,1,1,548,1000,2052
0.0285627588169,1,1,541,995,2048
0.0291720215879,1,1,540,1000,2038
0.0297852635695,1,1,550,1017,2025
0.0303908825644,1,1,550,1011,2029
0.0309921807342,1,1,545,1002,2035
0.0315942330256,1,1,549,1001,2044
0.0322020462431,1,1,534,998,2036
0.0328038372696,1,1,514,979,2039
0.033408294605,1,1,504,981,2033
0.0340138851691,1,1,498,972,2040
0.0346192175424,1,1,507,976,2041
0.0352236596739,1,1,492,947,2055
0.0358239034286,1,1,488,941,2053
0.0364378829957,1,1,485,951,2044
0.0370381495423,1,1,493,955,2048
0.0376386451653,1,1,503,970,2047
0.0382409594466,1,1,507,974,2047
0.0388589453534,1,1,502,976,2046
0.0394624848747,1,1,510,984,2048
0.040064881469,1,1,501,997,2032
0.0406675999896,1,1,500,998,2034
0.0412713409615,1,1,505,986,2049
0.0418807018667,1,1,496,988,2038
0.0424820146634,1,1,501,992,2039
0.0430917274038,1,1,506,996,2038
0.0436961061741,1,1,483,989,2032
0.0442966777045,1,1,483,999,2024
0.0449004696389,1,1,486,999,2027
0.0455033645369,1,1,482,998,2024
0.0461048023055,1,1,492,999,2035
0.0467169479385,1,1,484,1008,2024
0.0473285969838,1,1,481,1021,2000
0.0479307242996,1,1,483,1022,2003
0.048536968306,1,1,484,1027,1999
0.0491385866996,1,1,467,1013,1994
0.0497393850443,1,1,482,1006,2008
0.0503401026381,1,1,491,1017,2008
0.05094014186,1,1,486,1019,2001
0.0515500114967,1,1,488,1023,1999
0.0521531580425,1,1,488,1025,1995
0.0527547630983,1,1,494,1036,1990
0.0533599925454,1,1,497,1037,1990
0.0539651161341,1,1,487,1033,1984
0.0546058373083,1,1,477,1013,1994
0.0552116199724,1,1,487,1017,1998
0.0558192697262,1,1,488,1019,1997
0.0564209185711,1,1,474,1013,1985
0.0570244857505,1,1,476,1012,1980
0.0576258283015,1,1,476,1006,1984
0.0582331172263,1,1,468,1005,1977
0.058836995217,1,1,472,1013,1971
0.0594456378841,1,1,476,1008,1976
0.060056431983,1,1,469,1022,1953
0.0606594142146,1,1,461,1034,1933
0.0612599863859,1,1,477,1046,1937
0.06186800128,1,1,467,1050,1927
0.0624704705335,1,1,456,1036,1934
0.0630732811063,1,1,453,1038,1927
0.0636809499032,1,1,440,1027,1929
0.0642814540365,1,1,443,1041,1920
0.0648915219547,1,1,424,1034,1910
0.0655026928234,1,1,415,1037,1898
0.066105982285,1,1,419,1047,1888
0.0667074739922,1,1,416,1043,1887
0.067314939002,1,1,410,1026,1896
0.0679285408122,1,1,420,1034,1898
0.068532877856,1,1,439,1051,1896
0.0691504237473,1,1,424,1044,1890
0.0697554717066,1,1,433,1045,1896
0.0703586243533,1,1,441,1042,1903
0.0709613368143,1,1,445,1047,1898
0.0715619225799,1,1,443,1052,1891
0.0721717184616,1,1,453,1054,1897
0.0727803996854,1,1,458,1052,1904
0.0733817252873,1,1,452,1053,1897
0.0739897431834,1,1,450,1057,1891
0.0746032402513,1,1,443,1064,1881
0.0752060196764,1,1,453,1068,1885
0.0758108276177,1,1,465,1068,1893
0.0764141156927,1,1,453,1066,1885
0.077015654544,1,1,449,1070,1879
0.0776314760731,1,1,455,1089,1868
0.0782372716396,1,1,449,1087,1864
0.0788491695754,1,1,439,1076,1865
0.0794538517969,1,1,445,1073,1870
0.0800580704559,1,1,447,1071,1872
0.0806621286058,1,1,446,1074,1864
0.0812625291287,1,1,446,1081,1859
0.0818789368101,1,1,443,1095,1846
0.0824816514162,1,1,430,1097,1837
0.0830837959841,1,1,423,1092,1833
0.0836887410232,1,1,408,1097,1817
0.0842910787291,1,1,406,1092,1818
0.0849024096559,1,1,408,1089,1825
0.085503540275,1,1,406,1083,1831
0.0861078709499,1,1,391,1075,1824
0.086737395112,1,1,388,1070,1826
0.0873380384715,1,1,390,1067,1829
0.0879556889913,1,1,384,1069,1823
0.0885588425059,1,1,395,1074,1827
0.0891771652964,1,1,406,1067,1839
0.0897851206896,1,1,398,1069,1833
0.090401634136,1,1,395,1072,1825
0.0910041479395,1,1,396,1087,1809
0.0916169777001,1,1,387,1080,1807
0.0922218830659,1,1,400,1100,1798
0.0928222869505,1,1,389,1088,1797
0.0934273032881,1,1,398,1082,1812
0.0940386790498,1,1,416,1090,1820
0.094647317477,1,1,419,1104,1807
0.0952657910834,1,1,426,1091,1827
0.0958678843064,1,1,424,1090,1822
0.096475600663,1,1,423,1083,1826
0.0970830974859,1,1,401,1069,1818
0.0976950588708,1,1,385,1061,1812
0.0982957968719,1,1,390,1065,1815
0.0989117789984,1,1,385,1070,1803
0.0995191536227,1,1,397,1066,1817
0.100124065244,1,1,394,1068,1812
0.10072535452,1,1,386,1065,1811
0.101333725454,1,1,379,1059,1810
0.10197035181,1,1,378,1060,1808
0.102570917955,1,1,386,1067,1807
0.10318005981,1,1,381,1080,1791
0.103784617445,1,1,386,1086,1784
0.104392046874,1,1,375,1100,1761
0.105003984132,1,1,378,1113,1751
0.105606706699,1,1,384,1119,1751
0.106215542803,1,1,373,1124,1735
