Time,?c1,Y1(),Y2(),Y3()
0.,9999,485,999,1986
0.000602815308031,9997,484,994,1986
0.00121987168144,9996,481,995,1982
0.00182394534838,9995,483,991,1986
0.00243224022279,9994,475,982,1985
0.00303624865707,9994,484,990,1988
0.00364033930882,9993,495,998,1993
0.00424193248145,9993,488,1005,1981
0.00485281555028,9990,499,997,1994
0.00545867215697,9990,499,998,1993
0.00606919901272,9989,492,992,1990
0.0066711079515,9987,498,1003,1985
0.00727684761347,9984,494,1001,1979
0.00787783252417,9983,500,996,1990
0.00848155958175,9983,500,992,1996
0.00908705266709,9980,504,983,2009
0.00969019020057,9976,512,980,2014
0.0102902381025,9976,506,985,2009
0.0109042570273,9975,514,983,2017
0.0115054858392,9975,514,985,2017
0.012115075057,9973,514,986,2012
0.0127219703945,9971,518,974,2024
0.013336370186,9969,523,994,2005
0.0139434086863,9968,534,1001,2007
0.0145537652942,9967,534,995,2011
0.0151569522376,9967,532,985,2023
0.0157794287373,9966,536,987,2027
0.0163825052161,9966,526,979,2029
0.0169826116391,9964,533,986,2027
0.0175835267543,9962,552,982,2050
0.0181846740104,9961,562,988,2052
0.0187889645603,9961,552,989,2045
0.0193913903175,9960,554,981,2053
0.019991599289,9959,564,997,2049
0.0205937784008,9958,576,992,2066
0.0212037761905,9955,561,978,2067
0.0218056253774,9954,559,975,2068
0.0224101683471,9952,554,981,2059
0.0230102606667,9951,548,975,2059
0.0236143083418,9951,546,978,2056
0.0242172028959,9950,555,979,2064
0.0248401765997,9949,557,970,2077
0.0254511961315,9949,565,957,2098
0.0260617018671,9949,561,966,2085
0.0266651811914,9949,557,959,2094
0.0272653544315,9949,563,971,2090
0.0278708026454,9948,577,970,2107
0.0284779463037,9946,581,980,2101
0.0290808225664,9946,566,971,2097
0.0296912277723,9946,553,967,2096
0.0302966676616,9946,540,958,2092
0.0308983190386,9946,531,956,2087
0.0314999604183,9946,528,963,2079
0.0321018304749,9944,534,967,2085
0.0327161672771,9941,542,973,2085
0.0333161682641,9941,558,982,2094
0.0339201199478,9940,577,999,2094
0.034524382379,9938,564,995,2085
0.035132264959,9935,560,994,2080
0.0357349869542,9934,558,982,2094
0.0363429761956,9933,567,1000,2089
0.0369433110129,9933,573,993,2104
0.0375564380998,9933,575,983,2118
0.0381567706616,9932,584,989,2125
0.038765021216,9930,578,981,2125
0.0393728171026,9930,581,979,2132
0.0399854690864,9929,580,969,2141
0.0405899317405,9929,589,970,2149
0.0411931013874,9929,586,976,2142
0.0417950335317,9928,572,967,2141
0.0423978477914,9927,574,960,2150
0.0430015022556,9926,586,976,2146
0.0436146643376,9922,609,991,2154
0.0442194381145,9921,603,975,2166
0.0448196285655,9918,602,974,2164
0.0454229815356,9916,580,963,2157
0.0460244558001,9915,584,967,2161
0.0466255035562,9915,589,983,2152
0.047227649678,9913,593,982,2157
0.0478333038247,9913,598,981,2165
0.0484364907647,9913,604,975,2181
0.0490437014923,9912,601,978,2177
0.0496457166154,9909,611,985,2174
0.0502486696992,9908,612,970,2194
0.0508685130693,9906,613,963,2200
0.0514708072159,9905,617,955,2216
0.0520736930252,9904,609,948,2217
0.0526776885943,9904,629,963,2222
0.053278799503,9902,629,952,2229
0.0538847679232,9902,642,954,2242
0.0544889586356,9902,664,961,2257
0.0550928836789,9901,655,937,2270
