Time, X
0.1, 9526
0.2, 8997
0.30000000000000004, 8608
0.4, 8197
0.5, 7804
0.6, 7406
0.7, 7042
0.7999999999999999, 6672
0.8999999999999999, 6364
0.9999999999999999, 6036
1.0999999999999999, 5765
1.2, 5477
1.3, 5189
1.4000000000000001, 4939
1.5000000000000002, 4675
1.6000000000000003, 4438
1.7000000000000004, 4204
1.8000000000000005, 4003
1.9000000000000006, 3795
2.0000000000000004, 3613
2.1000000000000005, 3437
2.2000000000000006, 3284
2.3000000000000007, 3131
2.400000000000001, 2968
2.500000000000001, 2821
2.600000000000001, 2685
2.700000000000001, 2545
2.800000000000001, 2408
2.9000000000000012, 2294
3.0000000000000013, 2148
3.1000000000000014, 2049
3.2000000000000015, 1956
3.3000000000000016, 1861
3.4000000000000017, 1778
3.5000000000000018, 1698
3.600000000000002, 1610
3.700000000000002, 1524
3.800000000000002, 1440
3.900000000000002, 1366
4.000000000000002, 1299
4.100000000000001, 1238
4.200000000000001, 1175
4.300000000000001, 1117
4.4, 1067
4.5, 1010
4.6, 968
4.699999999999999, 920
4.799999999999999, 862
4.899999999999999, 817
4.999999999999998, 784
5.099999999999998, 751
5.1999999999999975, 702
5.299999999999997, 671
5.399999999999997, 636
5.4999999999999964, 608
5.599999999999996, 585
5.699999999999996, 553
5.799999999999995, 525
5.899999999999995, 495
5.999999999999995, 477
6.099999999999994, 455
6.199999999999994, 432
6.299999999999994, 408
6.399999999999993, 379
6.499999999999993, 363
6.5999999999999925, 340
6.699999999999992, 321
6.799999999999992, 297
6.8999999999999915, 284
6.999999999999991, 271
7.099999999999991, 258
7.19999999999999, 242
7.29999999999999, 228
7.39999999999999, 218
7.499999999999989, 203
7.599999999999989, 195
7.699999999999989, 186
7.799999999999988, 176
7.899999999999988, 164
7.999999999999988, 152
8.099999999999987, 147
8.199999999999987, 142
8.299999999999986, 139
8.399999999999986, 126
8.499999999999986, 120
8.599999999999985, 113
8.699999999999985, 105
8.799999999999985, 100
8.899999999999984, 97
8.999999999999984, 91
9.099999999999984, 87
9.199999999999983, 84
9.299999999999983, 77
9.399999999999983, 71
9.499999999999982, 68
9.599999999999982, 63
9.699999999999982, 59
9.799999999999981, 58
9.89999999999998, 55
9.99999999999998, 51
10.09999999999998, 48
