Time,Na(),Na_plus()
0.0090020074165,21,79
0.00904940940183,20,80
0.00908937782204,20,80
0.00912039724487,18,82
0.00915798942316,22,78
0.00918965771124,23,77
0.00922412060225,25,75
0.00925841364836,22,78
0.00929513783489,16,84
0.00932554838617,18,82
0.0093683130293,19,81
0.0094169106844,21,79
0.00946524371945,20,80
0.00949622805532,19,81
0.00953467419762,21,79
0.0095653772879,20,80
0.00959888229356,22,78
0.00963843371305,23,77
0.00967589073267,22,78
0.00970893461176,24,76
0.00973992445197,26,74
0.00977272170652,25,75
0.00980819284172,25,75
0.00984240398369,26,74
0.00988127763254,24,76
0.00991666222092,24,76
0.00994841562871,24,76
0.0099824947896,25,75
0.0100150470105,21,79
0.0100482516453,21,79
0.0100802709381,24,76
0.0101156511309,22,78
0.0101829666363,21,79
0.0102308203324,25,75
0.010262687699,27,73
0.0103361017483,30,70
0.0103797469347,30,70
0.0104115079094,28,72
0.010446358621,26,74
0.0104774578857,28,72
0.0105079413969,26,74
0.0105539506353,23,77
0.0105900816895,22,78
0.010636734483,20,80
0.0106737014337,24,76
0.0107148424465,25,75
0.0107452582155,28,72
0.010788718374,28,72
0.0108311125744,29,71
0.0108672759466,27,73
0.0109006346222,25,75
0.0109317942164,20,80
0.0109682103013,22,78
0.0110006095278,21,79
0.0110326746642,21,79
0.011081997039,23,77
0.0111148535528,21,79
0.0111708038041,23,77
0.0112054211946,21,79
0.0112543242467,22,78
0.0112989721198,21,79
0.0113605305543,23,77
0.0114047680642,22,78
0.0114415935002,20,80
0.0114874478701,23,77
0.0115178789299,24,76
0.0115598524165,24,76
0.0115961651566,22,78
0.0116365478721,23,77
0.0116771966255,22,78
0.011732854797,24,76
0.0117635188301,24,76
0.0117976373114,25,75
0.0118334266056,25,75
0.0118678118593,23,77
0.0119245583337,22,78
0.0119836984438,21,79
0.0120343183132,19,81
0.0120735206583,19,81
0.0121075484843,18,82
0.012155108868,19,81
0.0121855683541,20,80
0.0122232834907,24,76
0.0122565803858,24,76
0.0122976895113,26,74
0.0123369411598,28,72
0.0123711456847,27,73
0.012402031623,26,74
0.0124350812056,26,74
0.0124668687373,28,72
0.0124992135898,27,73
0.0125298803111,25,75
0.0125816495324,23,77
0.0126127073607,24,76
0.0126430694963,23,77
0.012689665194,25,75
0.0127212164746,21,79
0.0127660758372,22,78
0.0128008287289,22,78
0.0128387523324,21,79
0.0128774145085,23,77
0.0129109684326,20,80
0.0129411067157,21,79
0.0129840455328,22,78
0.0130143756381,23,77
0.0130515249237,24,76
0.0130823853634,23,77
0.0131259832312,24,76
0.0131655413395,25,75
0.0132078307424,25,75
0.0132453432201,25,75
0.0132831334052,23,77
0.0133143155926,22,78
0.0133555187975,21,79
0.013386208573,21,79
0.0134298066083,24,76
0.0134606544842,23,77
0.013493783664,24,76
0.0135258797141,26,74
0.0135895436632,24,76
0.0136222779061,23,77
0.0136527341485,26,74
0.0136873524268,27,73
0.0137324065709,27,73
0.0137890503298,26,74
0.013825904599,24,76
0.0138596718958,23,77
0.0138939115721,23,77
0.0139411144963,22,78
0.0139733415068,20,80
0.0140035604222,22,78
0.0140341738821,22,78
0.0140899498008,24,76
0.0141353098081,22,78
0.0141687752295,23,77
0.0141990349627,26,74
0.0142380895495,28,72
0.0142690683817,27,73
0.0143010445163,26,74
0.0143367049908,28,72
0.0143720510825,26,74
0.0144049443163,27,73
0.0144487410464,23,77
0.014483844217,19,81
0.0145139274861,18,82
0.014548725702,21,79
0.0145915560554,20,80
0.0146262393874,20,80
0.0146798010595,21,79
0.0147239345885,22,78
0.0147747414138,21,79
0.0148061692467,19,81
0.0148369494904,24,76
0.0148684592623,24,76
0.0149074537314,25,75
0.0149443662789,25,75
0.0149747735316,25,75
0.0150065526066,24,76
0.0150621874585,27,73
0.0151002962865,27,73
0.0151399269259,28,72
0.0151737823916,26,74
0.0152315733855,27,73
0.0152623917296,28,72
0.0153187627069,28,72
0.0153515333998,28,72
0.0153933814645,27,73
0.0154262733359,26,74
0.015467974677,23,77
0.0155046440338,23,77
0.0155457515439,25,75
0.0155792079465,24,76
0.0156112649659,27,73
0.0156421002945,29,71
0.015684037717,28,72
0.015718104264,25,75
0.0157535056099,25,75
0.0157931117923,30,70
0.0158285661348,30,70
0.0158616723822,29,71
0.0158937861666,31,69
0.0159301338133,32,68
0.0159664317903,31,69
0.0159970742,29,71
0.0160462227948,29,71
0.0160804243985,28,72
0.016127034701,30,70
0.0161573037638,30,70
0.0161877583847,28,72
0.0162302796118,27,73
0.0162666042791,26,74
0.0162991585935,31,69
0.0163364743996,31,69
0.0163696968827,32,68
0.0164059575139,33,67
0.0164364873895,31,69
0.0164713491356,27,73
0.0165014566246,27,73
0.0165394466052,22,78
0.0165709694662,23,77
0.016606665493,24,76
0.0166434177209,23,77
0.0166829168679,27,73
0.0167284049652,27,73
0.0167590857197,29,71
0.0167979046964,27,73
0.0168280536056,28,72
0.0168590452077,27,73
0.0169013330823,25,75
0.0169404106409,22,78
0.0169710848716,23,77
