Time,!x,!y,!z,Protein(),Gate(),Gate2(),Gate3()
0.,0,113,3,116,10,0,20
100.305343677,0,197,2,199,10,0,20
200.792310984,0,262,2,264,10,0,20
300.928234607,0,322,1,323,10,0,20
402.718021416,0,394,1,395,10,0,20
502.871836603,0,435,1,436,10,0,20
603.953609254,0,493,1,494,10,0,20
704.315132233,0,524,1,525,10,0,20
804.663992216,0,578,1,579,10,0,20
904.715836726,0,625,1,626,10,0,20
1004.90321358,1,626,1,628,0,0,30
1107.90450454,1,565,1,567,0,0,30
1208.49350766,1,496,1,498,0,0,30
1309.25836067,1,446,1,448,0,0,30
1413.00760809,1,412,1,414,0,0,30
1517.48454696,1,371,1,373,0,0,30
1622.82957736,1,339,1,341,0,0,30
1723.92694008,1,315,1,317,0,0,30
1828.59206297,1,277,1,279,0,0,30
1933.86845613,1,251,1,253,0,0,30
2038.41662561,1,229,0,230,0,0,30
2138.69270624,1,199,0,200,0,0,30
2240.4753505,1,186,0,187,0,0,30
2352.22981793,4,158,0,162,1,0,29
2460.11144225,16,146,0,162,1,0,29
2565.29916156,24,134,0,158,1,0,29
2680.9966247,33,124,0,157,1,0,29
2781.43675237,43,110,0,153,1,0,29
2887.08263175,47,98,0,145,1,0,29
2992.62360995,54,92,0,146,1,0,29
3093.49714337,61,75,0,136,1,0,29
3200.36966942,67,69,0,136,1,0,29
3302.70096691,70,66,0,136,1,0,29
3413.79224396,71,60,0,131,1,0,29
3515.30573107,73,56,0,129,1,0,29
3621.33858184,77,52,0,129,2,0,28
3727.95991649,89,46,0,135,2,0,28
3829.43242381,101,42,0,143,2,0,28
3931.27056039,116,37,0,153,2,0,28
4031.57377464,118,35,0,153,2,0,28
4133.42208795,126,32,0,158,2,0,28
4233.58968643,132,29,0,161,2,0,28
4334.60229869,143,25,0,168,2,0,28
4439.52488967,138,23,0,161,2,0,28
4541.4355722,143,15,0,158,2,0,28
4650.27848083,143,14,0,157,2,0,28
4751.10812033,156,13,0,169,2,0,28
4853.99195672,171,12,0,183,3,0,27
4956.80230414,188,10,0,198,3,0,27
5056.81344395,199,9,0,208,3,0,27
5157.25677758,223,9,0,232,3,0,27
5261.43082863,230,8,0,238,3,0,27
5361.45304804,235,6,0,241,3,0,27
5467.50727716,242,6,0,248,3,0,27
5569.33039376,233,5,0,238,3,0,27
5669.46187834,243,5,0,248,3,0,27
5769.88924103,246,5,0,251,3,0,27
5871.21281946,247,5,0,252,3,0,27
5980.91968883,265,5,0,270,3,0,27
6081.1940433,267,4,0,271,4,0,26
6184.2190475,259,4,0,263,4,0,26
6284.41201908,260,4,0,264,4,0,26
